"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","257","Create file with empty directory","LMS service","Fri Oct 24 14:06:08 GMT 2025","passed","Fri Oct 24 14:06:08 GMT 2025","Validate entity","Files","",""
"","298","Get courses","LMS service","Fri Oct 24 14:06:02 GMT 2025","passed","Fri Oct 24 14:06:02 GMT 2025","Get entities","Courses","",""
"","21","Create exercise","LMS service","Fri Oct 24 14:06:03 GMT 2025","passed","Fri Oct 24 14:06:03 GMT 2025","Create entity","Exercises","",""
"","29","Delete file","LMS service","Fri Oct 24 14:06:09 GMT 2025","passed","Fri Oct 24 14:06:09 GMT 2025","Delete entity","Files","",""
"","255","Create file with empty filename","LMS service","Fri Oct 24 14:06:07 GMT 2025","passed","Fri Oct 24 14:06:08 GMT 2025","Validate entity","Files","",""
"","17","Get exercises","LMS service","Fri Oct 24 14:06:06 GMT 2025","passed","Fri Oct 24 14:06:06 GMT 2025","Get entities","Exercises","",""
"","545","Create user","LMS service","Fri Oct 24 14:06:09 GMT 2025","passed","Fri Oct 24 14:06:10 GMT 2025","Create entity","Users","",""
"","286","Login with correct email and password","LMS service","Fri Oct 24 14:06:01 GMT 2025","passed","Fri Oct 24 14:06:01 GMT 2025","Login","Authentication","",""
"","524","Create user","LMS service","Fri Oct 24 14:06:09 GMT 2025","passed","Fri Oct 24 14:06:09 GMT 2025","Create entity","Users","",""
"","26","Get exercise","LMS service","Fri Oct 24 14:06:05 GMT 2025","passed","Fri Oct 24 14:06:05 GMT 2025","Get entity","Exercises","",""
"","287","Delete exercise","LMS service","Fri Oct 24 14:06:05 GMT 2025","passed","Fri Oct 24 14:06:05 GMT 2025","Delete entity","Exercises","",""
"","29","Create course","LMS service","Fri Oct 24 14:06:03 GMT 2025","passed","Fri Oct 24 14:06:03 GMT 2025","Create entity","Courses","",""
"","287","Update exercise","LMS service","Fri Oct 24 14:06:04 GMT 2025","passed","Fri Oct 24 14:06:04 GMT 2025","Update entity","Exercises","",""
"","254","Create file","LMS service","Fri Oct 24 14:06:07 GMT 2025","passed","Fri Oct 24 14:06:07 GMT 2025","Create entity","Files","",""
"","14","Get file","LMS service","Fri Oct 24 14:06:06 GMT 2025","passed","Fri Oct 24 14:06:06 GMT 2025","Get entity","Files","",""
"","301","Update course","LMS service","Fri Oct 24 14:06:02 GMT 2025","passed","Fri Oct 24 14:06:02 GMT 2025","Update entity","Courses","",""
"","275","Get file with incorrect file id","LMS service","Fri Oct 24 14:06:09 GMT 2025","passed","Fri Oct 24 14:06:09 GMT 2025","Validate entity","Files","",""
"","10","Get user me","LMS service","Fri Oct 24 14:06:10 GMT 2025","passed","Fri Oct 24 14:06:10 GMT 2025","Get entity","Users","",""
"","287","Create user","LMS service","Fri Oct 24 14:06:09 GMT 2025","passed","Fri Oct 24 14:06:10 GMT 2025","Create entity","Users","",""
