"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","567","Create user","LMS service","Wed Oct 22 12:40:02 UTC 2025","passed","Wed Oct 22 12:40:03 UTC 2025","Create entity","Users","",""
"","259","Create file","LMS service","Wed Oct 22 12:40:00 UTC 2025","passed","Wed Oct 22 12:40:00 UTC 2025","Create entity","Files","",""
"","19","Get exercises","LMS service","Wed Oct 22 12:39:59 UTC 2025","passed","Wed Oct 22 12:39:59 UTC 2025","Get entities","Exercises","",""
"","257","Create file with empty directory","LMS service","Wed Oct 22 12:40:01 UTC 2025","passed","Wed Oct 22 12:40:02 UTC 2025","Validate entity","Files","",""
"","285","Create user","LMS service","Wed Oct 22 12:40:02 UTC 2025","passed","Wed Oct 22 12:40:03 UTC 2025","Create entity","Users","",""
"","292","Delete file","LMS service","Wed Oct 22 12:40:02 UTC 2025","passed","Wed Oct 22 12:40:02 UTC 2025","Delete entity","Files","",""
"","263","Get file with incorrect file id","LMS service","Wed Oct 22 12:40:02 UTC 2025","passed","Wed Oct 22 12:40:02 UTC 2025","Validate entity","Files","",""
"","27","Get courses","LMS service","Wed Oct 22 12:39:55 UTC 2025","passed","Wed Oct 22 12:39:55 UTC 2025","Get entities","Courses","",""
"","19","Create exercise","LMS service","Wed Oct 22 12:39:57 UTC 2025","passed","Wed Oct 22 12:39:57 UTC 2025","Create entity","Exercises","",""
"","297","Update course","LMS service","Wed Oct 22 12:39:55 UTC 2025","passed","Wed Oct 22 12:39:56 UTC 2025","Update entity","Courses","",""
"","284","Login with correct email and password","LMS service","Wed Oct 22 12:39:54 UTC 2025","passed","Wed Oct 22 12:39:54 UTC 2025","Login","Authentication","",""
"","14","Get file","LMS service","Wed Oct 22 12:39:59 UTC 2025","passed","Wed Oct 22 12:39:59 UTC 2025","Get entity","Files","",""
"","21","Get exercise","LMS service","Wed Oct 22 12:39:58 UTC 2025","passed","Wed Oct 22 12:39:58 UTC 2025","Get entity","Exercises","",""
"","28","Create course","LMS service","Wed Oct 22 12:39:56 UTC 2025","passed","Wed Oct 22 12:39:56 UTC 2025","Create entity","Courses","",""
"","541","Create user","LMS service","Wed Oct 22 12:40:02 UTC 2025","passed","Wed Oct 22 12:40:02 UTC 2025","Create entity","Users","",""
"","11","Get user me","LMS service","Wed Oct 22 12:40:04 UTC 2025","passed","Wed Oct 22 12:40:04 UTC 2025","Get entity","Users","",""
"","18","Delete exercise","LMS service","Wed Oct 22 12:39:58 UTC 2025","passed","Wed Oct 22 12:39:58 UTC 2025","Delete entity","Exercises","",""
"","15","Create file with empty filename","LMS service","Wed Oct 22 12:40:00 UTC 2025","passed","Wed Oct 22 12:40:00 UTC 2025","Validate entity","Files","",""
"","24","Update exercise","LMS service","Wed Oct 22 12:39:57 UTC 2025","passed","Wed Oct 22 12:39:57 UTC 2025","Update entity","Exercises","",""
