"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","268","Get file with incorrect file id","LMS service","Fri Oct 24 13:16:30 UTC 2025","passed","Fri Oct 24 13:16:30 UTC 2025","Validate entity","Files","",""
"","294","Delete file","LMS service","Fri Oct 24 13:16:29 UTC 2025","passed","Fri Oct 24 13:16:29 UTC 2025","Delete entity","Files","",""
"","545","Create user","LMS service","Fri Oct 24 13:16:30 UTC 2025","passed","Fri Oct 24 13:16:31 UTC 2025","Create entity","Users","",""
"","286","Get exercises","LMS service","Fri Oct 24 13:16:27 UTC 2025","passed","Fri Oct 24 13:16:27 UTC 2025","Get entities","Exercises","",""
"","536","Create user","LMS service","Fri Oct 24 13:16:30 UTC 2025","passed","Fri Oct 24 13:16:30 UTC 2025","Create entity","Users","",""
"","15","Create file with empty filename","LMS service","Fri Oct 24 13:16:28 UTC 2025","passed","Fri Oct 24 13:16:28 UTC 2025","Validate entity","Files","",""
"","299","Get exercise","LMS service","Fri Oct 24 13:16:25 UTC 2025","passed","Fri Oct 24 13:16:26 UTC 2025","Get entity","Exercises","",""
"","13","Get file","LMS service","Fri Oct 24 13:16:27 UTC 2025","passed","Fri Oct 24 13:16:27 UTC 2025","Get entity","Files","",""
"","259","Create file with empty directory","LMS service","Fri Oct 24 13:16:29 UTC 2025","passed","Fri Oct 24 13:16:29 UTC 2025","Validate entity","Files","",""
"","295","Update exercise","LMS service","Fri Oct 24 13:16:24 UTC 2025","passed","Fri Oct 24 13:16:25 UTC 2025","Update entity","Exercises","",""
"","26","Get courses","LMS service","Fri Oct 24 13:16:22 UTC 2025","passed","Fri Oct 24 13:16:22 UTC 2025","Get entities","Courses","",""
"","26","Create course","LMS service","Fri Oct 24 13:16:23 UTC 2025","passed","Fri Oct 24 13:16:23 UTC 2025","Create entity","Courses","",""
"","17","Delete exercise","LMS service","Fri Oct 24 13:16:26 UTC 2025","passed","Fri Oct 24 13:16:26 UTC 2025","Delete entity","Exercises","",""
"","287","Create user","LMS service","Fri Oct 24 13:16:30 UTC 2025","passed","Fri Oct 24 13:16:30 UTC 2025","Create entity","Users","",""
"","34","Update course","LMS service","Fri Oct 24 13:16:23 UTC 2025","passed","Fri Oct 24 13:16:23 UTC 2025","Update entity","Courses","",""
"","521","Login with correct email and password","LMS service","Fri Oct 24 13:16:22 UTC 2025","passed","Fri Oct 24 13:16:22 UTC 2025","Login","Authentication","",""
"","12","Get user me","LMS service","Fri Oct 24 13:16:31 UTC 2025","passed","Fri Oct 24 13:16:31 UTC 2025","Get entity","Users","",""
"","20","Create exercise","LMS service","Fri Oct 24 13:16:24 UTC 2025","passed","Fri Oct 24 13:16:24 UTC 2025","Create entity","Exercises","",""
"","258","Create file","LMS service","Fri Oct 24 13:16:28 UTC 2025","passed","Fri Oct 24 13:16:28 UTC 2025","Create entity","Files","",""
