"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","286","Create user","LMS service","Wed Oct 22 11:10:45 UTC 2025","passed","Wed Oct 22 11:10:46 UTC 2025","Create entity","Users","",""
"","18","Create file with empty filename","LMS service","Wed Oct 22 11:10:43 UTC 2025","passed","Wed Oct 22 11:10:43 UTC 2025","Validate entity","Files","",""
"","29","Create course","LMS service","Wed Oct 22 11:10:39 UTC 2025","passed","Wed Oct 22 11:10:39 UTC 2025","Create entity","Courses","",""
"","555","Create user","LMS service","Wed Oct 22 11:10:45 UTC 2025","passed","Wed Oct 22 11:10:46 UTC 2025","Create entity","Users","",""
"","14","Get file","LMS service","Wed Oct 22 11:10:42 UTC 2025","passed","Wed Oct 22 11:10:42 UTC 2025","Get entity","Files","",""
"","18","Delete exercise","LMS service","Wed Oct 22 11:10:41 UTC 2025","passed","Wed Oct 22 11:10:41 UTC 2025","Delete entity","Exercises","",""
"","23","Get exercise","LMS service","Wed Oct 22 11:10:41 UTC 2025","passed","Wed Oct 22 11:10:41 UTC 2025","Get entity","Exercises","",""
"","28","Get courses","LMS service","Wed Oct 22 11:10:37 UTC 2025","passed","Wed Oct 22 11:10:37 UTC 2025","Get entities","Courses","",""
"","264","Get file with incorrect file id","LMS service","Wed Oct 22 11:10:45 UTC 2025","passed","Wed Oct 22 11:10:45 UTC 2025","Validate entity","Files","",""
"","260","Create file","LMS service","Wed Oct 22 11:10:43 UTC 2025","passed","Wed Oct 22 11:10:43 UTC 2025","Create entity","Files","",""
"","24","Create exercise","LMS service","Wed Oct 22 11:10:40 UTC 2025","passed","Wed Oct 22 11:10:40 UTC 2025","Create entity","Exercises","",""
"","13","Get user me","LMS service","Wed Oct 22 11:10:47 UTC 2025","passed","Wed Oct 22 11:10:47 UTC 2025","Get entity","Users","",""
"","300","Delete file","LMS service","Wed Oct 22 11:10:44 UTC 2025","passed","Wed Oct 22 11:10:45 UTC 2025","Delete entity","Files","",""
"","537","Create user","LMS service","Wed Oct 22 11:10:45 UTC 2025","passed","Wed Oct 22 11:10:45 UTC 2025","Create entity","Users","",""
"","551","Login with correct email and password","LMS service","Wed Oct 22 11:10:37 UTC 2025","passed","Wed Oct 22 11:10:37 UTC 2025","Login","Authentication","",""
"","18","Get exercises","LMS service","Wed Oct 22 11:10:42 UTC 2025","passed","Wed Oct 22 11:10:42 UTC 2025","Get entities","Exercises","",""
"","39","Update course","LMS service","Wed Oct 22 11:10:39 UTC 2025","passed","Wed Oct 22 11:10:39 UTC 2025","Update entity","Courses","",""
"","262","Create file with empty directory","LMS service","Wed Oct 22 11:10:44 UTC 2025","passed","Wed Oct 22 11:10:44 UTC 2025","Validate entity","Files","",""
"","25","Update exercise","LMS service","Wed Oct 22 11:10:40 UTC 2025","passed","Wed Oct 22 11:10:40 UTC 2025","Update entity","Exercises","",""
