"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26","Create course","LMS service","Fri Oct 24 13:22:14 UTC 2025","passed","Fri Oct 24 13:22:14 UTC 2025","Create entity","Courses","",""
"","553","Create user","LMS service","Fri Oct 24 13:22:21 UTC 2025","passed","Fri Oct 24 13:22:21 UTC 2025","Create entity","Users","",""
"","285","Login with correct email and password","LMS service","Fri Oct 24 13:22:12 UTC 2025","passed","Fri Oct 24 13:22:12 UTC 2025","Login","Authentication","",""
"","290","Update exercise","LMS service","Fri Oct 24 13:22:15 UTC 2025","passed","Fri Oct 24 13:22:15 UTC 2025","Update entity","Exercises","",""
"","19","Create exercise","LMS service","Fri Oct 24 13:22:15 UTC 2025","passed","Fri Oct 24 13:22:15 UTC 2025","Create entity","Exercises","",""
"","288","Delete exercise","LMS service","Fri Oct 24 13:22:16 UTC 2025","passed","Fri Oct 24 13:22:17 UTC 2025","Delete entity","Exercises","",""
"","12","Get user me","LMS service","Fri Oct 24 13:22:22 UTC 2025","passed","Fri Oct 24 13:22:22 UTC 2025","Get entity","Users","",""
"","263","Create file with empty directory","LMS service","Fri Oct 24 13:22:19 UTC 2025","passed","Fri Oct 24 13:22:19 UTC 2025","Validate entity","Files","",""
"","272","Get file with incorrect file id","LMS service","Fri Oct 24 13:22:20 UTC 2025","passed","Fri Oct 24 13:22:21 UTC 2025","Validate entity","Files","",""
"","15","Get exercises","LMS service","Fri Oct 24 13:22:17 UTC 2025","passed","Fri Oct 24 13:22:17 UTC 2025","Get entities","Exercises","",""
"","30","Delete file","LMS service","Fri Oct 24 13:22:20 UTC 2025","passed","Fri Oct 24 13:22:20 UTC 2025","Delete entity","Files","",""
"","261","Create file","LMS service","Fri Oct 24 13:22:18 UTC 2025","passed","Fri Oct 24 13:22:18 UTC 2025","Create entity","Files","",""
"","304","Get courses","LMS service","Fri Oct 24 13:22:13 UTC 2025","passed","Fri Oct 24 13:22:13 UTC 2025","Get entities","Courses","",""
"","522","Create user","LMS service","Fri Oct 24 13:22:20 UTC 2025","passed","Fri Oct 24 13:22:21 UTC 2025","Create entity","Users","",""
"","22","Get exercise","LMS service","Fri Oct 24 13:22:16 UTC 2025","passed","Fri Oct 24 13:22:16 UTC 2025","Get entity","Exercises","",""
"","287","Create user","LMS service","Fri Oct 24 13:22:21 UTC 2025","passed","Fri Oct 24 13:22:21 UTC 2025","Create entity","Users","",""
"","14","Get file","LMS service","Fri Oct 24 13:22:18 UTC 2025","passed","Fri Oct 24 13:22:18 UTC 2025","Get entity","Files","",""
"","300","Update course","LMS service","Fri Oct 24 13:22:13 UTC 2025","passed","Fri Oct 24 13:22:13 UTC 2025","Update entity","Courses","",""
"","264","Create file with empty filename","LMS service","Fri Oct 24 13:22:18 UTC 2025","passed","Fri Oct 24 13:22:19 UTC 2025","Validate entity","Files","",""
