"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17","Delete exercise","LMS service","Wed Oct 22 11:17:48 UTC 2025","passed","Wed Oct 22 11:17:48 UTC 2025","Delete entity","Exercises","",""
"","13","Get file","LMS service","Wed Oct 22 11:17:49 UTC 2025","passed","Wed Oct 22 11:17:49 UTC 2025","Get entity","Files","",""
"","27","Update exercise","LMS service","Wed Oct 22 11:17:47 UTC 2025","passed","Wed Oct 22 11:17:47 UTC 2025","Update entity","Exercises","",""
"","26","Create course","LMS service","Wed Oct 22 11:17:46 UTC 2025","passed","Wed Oct 22 11:17:46 UTC 2025","Create entity","Courses","",""
"","22","Get exercises","LMS service","Wed Oct 22 11:17:49 UTC 2025","passed","Wed Oct 22 11:17:49 UTC 2025","Get entities","Exercises","",""
"","261","Create file","LMS service","Wed Oct 22 11:17:50 UTC 2025","passed","Wed Oct 22 11:17:51 UTC 2025","Create entity","Files","",""
"","29","Get courses","LMS service","Wed Oct 22 11:17:45 UTC 2025","passed","Wed Oct 22 11:17:45 UTC 2025","Get entities","Courses","",""
"","555","Login with correct email and password","LMS service","Wed Oct 22 11:17:44 UTC 2025","passed","Wed Oct 22 11:17:45 UTC 2025","Login","Authentication","",""
"","264","Create file with empty directory","LMS service","Wed Oct 22 11:17:51 UTC 2025","passed","Wed Oct 22 11:17:52 UTC 2025","Validate entity","Files","",""
"","32","Update course","LMS service","Wed Oct 22 11:17:46 UTC 2025","passed","Wed Oct 22 11:17:46 UTC 2025","Update entity","Courses","",""
"","21","Create exercise","LMS service","Wed Oct 22 11:17:47 UTC 2025","passed","Wed Oct 22 11:17:47 UTC 2025","Create entity","Exercises","",""
"","545","Create user","LMS service","Wed Oct 22 11:17:52 UTC 2025","passed","Wed Oct 22 11:17:53 UTC 2025","Create entity","Users","",""
"","263","Get file with incorrect file id","LMS service","Wed Oct 22 11:17:52 UTC 2025","passed","Wed Oct 22 11:17:53 UTC 2025","Validate entity","Files","",""
"","18","Create file with empty filename","LMS service","Wed Oct 22 11:17:51 UTC 2025","passed","Wed Oct 22 11:17:51 UTC 2025","Validate entity","Files","",""
"","296","Delete file","LMS service","Wed Oct 22 11:17:52 UTC 2025","passed","Wed Oct 22 11:17:52 UTC 2025","Delete entity","Files","",""
"","286","Create user","LMS service","Wed Oct 22 11:17:53 UTC 2025","passed","Wed Oct 22 11:17:53 UTC 2025","Create entity","Users","",""
"","12","Get user me","LMS service","Wed Oct 22 11:17:54 UTC 2025","passed","Wed Oct 22 11:17:54 UTC 2025","Get entity","Users","",""
"","554","Create user","LMS service","Wed Oct 22 11:17:53 UTC 2025","passed","Wed Oct 22 11:17:53 UTC 2025","Create entity","Users","",""
"","25","Get exercise","LMS service","Wed Oct 22 11:17:48 UTC 2025","passed","Wed Oct 22 11:17:48 UTC 2025","Get entity","Exercises","",""
