"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","288","Delete exercise","LMS service","Fri Oct 24 20:44:25 GMT 2025","passed","Fri Oct 24 20:44:25 GMT 2025","Delete entity","Exercises","",""
"","285","Update exercise","LMS service","Fri Oct 24 20:44:24 GMT 2025","passed","Fri Oct 24 20:44:24 GMT 2025","Update entity","Exercises","",""
"","28","Update course","LMS service","Fri Oct 24 20:44:22 GMT 2025","passed","Fri Oct 24 20:44:22 GMT 2025","Update entity","Courses","",""
"","15","Get exercises","LMS service","Fri Oct 24 20:44:26 GMT 2025","passed","Fri Oct 24 20:44:26 GMT 2025","Get entities","Exercises","",""
"","265","Create file with empty directory","LMS service","Fri Oct 24 20:44:28 GMT 2025","passed","Fri Oct 24 20:44:28 GMT 2025","Validate entity","Files","",""
"","523","Create user","LMS service","Fri Oct 24 20:44:29 GMT 2025","passed","Fri Oct 24 20:44:29 GMT 2025","Create entity","Users","",""
"","12","Get user me","LMS service","Fri Oct 24 20:44:30 GMT 2025","passed","Fri Oct 24 20:44:30 GMT 2025","Get entity","Users","",""
"","552","Login with correct email and password","LMS service","Fri Oct 24 20:44:21 GMT 2025","passed","Fri Oct 24 20:44:21 GMT 2025","Login","Authentication","",""
"","256","Get file with incorrect file id","LMS service","Fri Oct 24 20:44:29 GMT 2025","passed","Fri Oct 24 20:44:29 GMT 2025","Validate entity","Files","",""
"","288","Create user","LMS service","Fri Oct 24 20:44:29 GMT 2025","passed","Fri Oct 24 20:44:30 GMT 2025","Create entity","Users","",""
"","28","Get courses","LMS service","Fri Oct 24 20:44:22 GMT 2025","passed","Fri Oct 24 20:44:22 GMT 2025","Get entities","Courses","",""
"","561","Create user","LMS service","Fri Oct 24 20:44:29 GMT 2025","passed","Fri Oct 24 20:44:30 GMT 2025","Create entity","Users","",""
"","265","Create file with empty filename","LMS service","Fri Oct 24 20:44:27 GMT 2025","passed","Fri Oct 24 20:44:28 GMT 2025","Validate entity","Files","",""
"","27","Create course","LMS service","Fri Oct 24 20:44:23 GMT 2025","passed","Fri Oct 24 20:44:23 GMT 2025","Create entity","Courses","",""
"","18","Delete file","LMS service","Fri Oct 24 20:44:29 GMT 2025","passed","Fri Oct 24 20:44:29 GMT 2025","Delete entity","Files","",""
"","21","Create exercise","LMS service","Fri Oct 24 20:44:23 GMT 2025","passed","Fri Oct 24 20:44:23 GMT 2025","Create entity","Exercises","",""
"","14","Get file","LMS service","Fri Oct 24 20:44:26 GMT 2025","passed","Fri Oct 24 20:44:26 GMT 2025","Get entity","Files","",""
"","258","Create file","LMS service","Fri Oct 24 20:44:27 GMT 2025","passed","Fri Oct 24 20:44:27 GMT 2025","Create entity","Files","",""
"","20","Get exercise","LMS service","Fri Oct 24 20:44:25 GMT 2025","passed","Fri Oct 24 20:44:25 GMT 2025","Get entity","Exercises","",""
