"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","531","Login with correct email and password","LMS service","Fri Oct 24 14:02:31 GMT 2025","passed","Fri Oct 24 14:02:32 GMT 2025","Login","Authentication","",""
"","15","Create file with empty filename","LMS service","Fri Oct 24 14:02:37 GMT 2025","passed","Fri Oct 24 14:02:37 GMT 2025","Validate entity","Files","",""
"","19","Get exercises","LMS service","Fri Oct 24 14:02:36 GMT 2025","passed","Fri Oct 24 14:02:36 GMT 2025","Get entities","Exercises","",""
"","23","Create course","LMS service","Fri Oct 24 14:02:33 GMT 2025","passed","Fri Oct 24 14:02:33 GMT 2025","Create entity","Courses","",""
"","30","Get courses","LMS service","Fri Oct 24 14:02:32 GMT 2025","passed","Fri Oct 24 14:02:32 GMT 2025","Get entities","Courses","",""
"","28","Create exercise","LMS service","Fri Oct 24 14:02:34 GMT 2025","passed","Fri Oct 24 14:02:34 GMT 2025","Create entity","Exercises","",""
"","278","Create user","LMS service","Fri Oct 24 14:02:39 GMT 2025","passed","Fri Oct 24 14:02:40 GMT 2025","Create entity","Users","",""
"","14","Get file","LMS service","Fri Oct 24 14:02:36 GMT 2025","passed","Fri Oct 24 14:02:36 GMT 2025","Get entity","Files","",""
"","251","Create file with empty directory","LMS service","Fri Oct 24 14:02:38 GMT 2025","passed","Fri Oct 24 14:02:38 GMT 2025","Validate entity","Files","",""
"","22","Update exercise","LMS service","Fri Oct 24 14:02:34 GMT 2025","passed","Fri Oct 24 14:02:34 GMT 2025","Update entity","Exercises","",""
"","252","Create file","LMS service","Fri Oct 24 14:02:37 GMT 2025","passed","Fri Oct 24 14:02:37 GMT 2025","Create entity","Files","",""
"","19","Delete exercise","LMS service","Fri Oct 24 14:02:35 GMT 2025","passed","Fri Oct 24 14:02:35 GMT 2025","Delete entity","Exercises","",""
"","11","Get user me","LMS service","Fri Oct 24 14:02:40 GMT 2025","passed","Fri Oct 24 14:02:40 GMT 2025","Get entity","Users","",""
"","35","Update course","LMS service","Fri Oct 24 14:02:33 GMT 2025","passed","Fri Oct 24 14:02:33 GMT 2025","Update entity","Courses","",""
"","295","Delete file","LMS service","Fri Oct 24 14:02:38 GMT 2025","passed","Fri Oct 24 14:02:39 GMT 2025","Delete entity","Files","",""
"","26","Get exercise","LMS service","Fri Oct 24 14:02:35 GMT 2025","passed","Fri Oct 24 14:02:35 GMT 2025","Get entity","Exercises","",""
"","525","Create user","LMS service","Fri Oct 24 14:02:39 GMT 2025","passed","Fri Oct 24 14:02:40 GMT 2025","Create entity","Users","",""
"","520","Create user","LMS service","Fri Oct 24 14:02:39 GMT 2025","passed","Fri Oct 24 14:02:39 GMT 2025","Create entity","Users","",""
"","272","Get file with incorrect file id","LMS service","Fri Oct 24 14:02:39 GMT 2025","passed","Fri Oct 24 14:02:39 GMT 2025","Validate entity","Files","",""
