"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13","Get user me","LMS service","Fri Oct 24 15:25:55 GMT 2025","passed","Fri Oct 24 15:25:55 GMT 2025","Get entity","Users","",""
"","531","Create user","LMS service","Fri Oct 24 15:25:53 GMT 2025","passed","Fri Oct 24 15:25:53 GMT 2025","Create entity","Users","",""
"","20","Create exercise","LMS service","Fri Oct 24 15:25:47 GMT 2025","passed","Fri Oct 24 15:25:47 GMT 2025","Create entity","Exercises","",""
"","30","Get courses","LMS service","Fri Oct 24 15:25:46 GMT 2025","passed","Fri Oct 24 15:25:46 GMT 2025","Get entities","Courses","",""
"","23","Get exercise","LMS service","Fri Oct 24 15:25:49 GMT 2025","passed","Fri Oct 24 15:25:49 GMT 2025","Get entity","Exercises","",""
"","286","Login with correct email and password","LMS service","Fri Oct 24 15:25:45 GMT 2025","passed","Fri Oct 24 15:25:45 GMT 2025","Login","Authentication","",""
"","14","Get file","LMS service","Fri Oct 24 15:25:50 GMT 2025","passed","Fri Oct 24 15:25:50 GMT 2025","Get entity","Files","",""
"","289","Update exercise","LMS service","Fri Oct 24 15:25:48 GMT 2025","passed","Fri Oct 24 15:25:48 GMT 2025","Update entity","Exercises","",""
"","300","Update course","LMS service","Fri Oct 24 15:25:46 GMT 2025","passed","Fri Oct 24 15:25:47 GMT 2025","Update entity","Courses","",""
"","19","Delete file","LMS service","Fri Oct 24 15:25:53 GMT 2025","passed","Fri Oct 24 15:25:53 GMT 2025","Delete entity","Files","",""
"","258","Get file with incorrect file id","LMS service","Fri Oct 24 15:25:53 GMT 2025","passed","Fri Oct 24 15:25:53 GMT 2025","Validate entity","Files","",""
"","286","Create user","LMS service","Fri Oct 24 15:25:53 GMT 2025","passed","Fri Oct 24 15:25:54 GMT 2025","Create entity","Users","",""
"","266","Create file","LMS service","Fri Oct 24 15:25:51 GMT 2025","passed","Fri Oct 24 15:25:51 GMT 2025","Create entity","Files","",""
"","304","Create course","LMS service","Fri Oct 24 15:25:47 GMT 2025","passed","Fri Oct 24 15:25:47 GMT 2025","Create entity","Courses","",""
"","270","Create file with empty directory","LMS service","Fri Oct 24 15:25:52 GMT 2025","passed","Fri Oct 24 15:25:52 GMT 2025","Validate entity","Files","",""
"","264","Create file with empty filename","LMS service","Fri Oct 24 15:25:51 GMT 2025","passed","Fri Oct 24 15:25:52 GMT 2025","Validate entity","Files","",""
"","557","Create user","LMS service","Fri Oct 24 15:25:53 GMT 2025","passed","Fri Oct 24 15:25:54 GMT 2025","Create entity","Users","",""
"","18","Get exercises","LMS service","Fri Oct 24 15:25:50 GMT 2025","passed","Fri Oct 24 15:25:50 GMT 2025","Get entities","Exercises","",""
"","291","Delete exercise","LMS service","Fri Oct 24 15:25:49 GMT 2025","passed","Fri Oct 24 15:25:50 GMT 2025","Delete entity","Exercises","",""
