"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21","Delete exercise","LMS service","Wed Oct 22 12:35:26 UTC 2025","passed","Wed Oct 22 12:35:26 UTC 2025","Delete entity","Exercises","",""
"","266","Get file with incorrect file id","LMS service","Wed Oct 22 12:35:30 UTC 2025","passed","Wed Oct 22 12:35:30 UTC 2025","Validate entity","Files","",""
"","14","Get file","LMS service","Wed Oct 22 12:35:27 UTC 2025","passed","Wed Oct 22 12:35:27 UTC 2025","Get entity","Files","",""
"","28","Get courses","LMS service","Wed Oct 22 12:35:22 UTC 2025","passed","Wed Oct 22 12:35:22 UTC 2025","Get entities","Courses","",""
"","298","Update course","LMS service","Wed Oct 22 12:35:23 UTC 2025","passed","Wed Oct 22 12:35:23 UTC 2025","Update entity","Courses","",""
"","20","Get exercises","LMS service","Wed Oct 22 12:35:27 UTC 2025","passed","Wed Oct 22 12:35:27 UTC 2025","Get entities","Exercises","",""
"","13","Get user me","LMS service","Wed Oct 22 12:35:31 UTC 2025","passed","Wed Oct 22 12:35:31 UTC 2025","Get entity","Users","",""
"","563","Create user","LMS service","Wed Oct 22 12:35:30 UTC 2025","passed","Wed Oct 22 12:35:31 UTC 2025","Create entity","Users","",""
"","25","Update exercise","LMS service","Wed Oct 22 12:35:25 UTC 2025","passed","Wed Oct 22 12:35:25 UTC 2025","Update entity","Exercises","",""
"","15","Create file with empty filename","LMS service","Wed Oct 22 12:35:28 UTC 2025","passed","Wed Oct 22 12:35:28 UTC 2025","Validate entity","Files","",""
"","286","Login with correct email and password","LMS service","Wed Oct 22 12:35:22 UTC 2025","passed","Wed Oct 22 12:35:22 UTC 2025","Login","Authentication","",""
"","259","Create file","LMS service","Wed Oct 22 12:35:28 UTC 2025","passed","Wed Oct 22 12:35:28 UTC 2025","Create entity","Files","",""
"","18","Get exercise","LMS service","Wed Oct 22 12:35:26 UTC 2025","passed","Wed Oct 22 12:35:26 UTC 2025","Get entity","Exercises","",""
"","300","Delete file","LMS service","Wed Oct 22 12:35:29 UTC 2025","passed","Wed Oct 22 12:35:30 UTC 2025","Delete entity","Files","",""
"","21","Create exercise","LMS service","Wed Oct 22 12:35:24 UTC 2025","passed","Wed Oct 22 12:35:25 UTC 2025","Create entity","Exercises","",""
"","544","Create user","LMS service","Wed Oct 22 12:35:30 UTC 2025","passed","Wed Oct 22 12:35:30 UTC 2025","Create entity","Users","",""
"","31","Create course","LMS service","Wed Oct 22 12:35:23 UTC 2025","passed","Wed Oct 22 12:35:23 UTC 2025","Create entity","Courses","",""
"","264","Create file with empty directory","LMS service","Wed Oct 22 12:35:29 UTC 2025","passed","Wed Oct 22 12:35:29 UTC 2025","Validate entity","Files","",""
"","287","Create user","LMS service","Wed Oct 22 12:35:30 UTC 2025","passed","Wed Oct 22 12:35:30 UTC 2025","Create entity","Users","",""
