"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","37","Update course","LMS service","Fri Oct 24 13:37:05 GMT 2025","passed","Fri Oct 24 13:37:05 GMT 2025","Update entity","Courses","",""
"","556","Login with correct email and password","LMS service","Fri Oct 24 13:37:03 GMT 2025","passed","Fri Oct 24 13:37:04 GMT 2025","Login","Authentication","",""
"","30","Get courses","LMS service","Fri Oct 24 13:37:04 GMT 2025","passed","Fri Oct 24 13:37:04 GMT 2025","Get entities","Courses","",""
"","257","Create file","LMS service","Fri Oct 24 13:37:09 GMT 2025","passed","Fri Oct 24 13:37:10 GMT 2025","Create entity","Files","",""
"","24","Get exercise","LMS service","Fri Oct 24 13:37:07 GMT 2025","passed","Fri Oct 24 13:37:07 GMT 2025","Get entity","Exercises","",""
"","23","Create exercise","LMS service","Fri Oct 24 13:37:06 GMT 2025","passed","Fri Oct 24 13:37:06 GMT 2025","Create entity","Exercises","",""
"","16","Get file","LMS service","Fri Oct 24 13:37:09 GMT 2025","passed","Fri Oct 24 13:37:09 GMT 2025","Get entity","Files","",""
"","553","Create user","LMS service","Fri Oct 24 13:37:12 GMT 2025","passed","Fri Oct 24 13:37:12 GMT 2025","Create entity","Users","",""
"","532","Create user","LMS service","Fri Oct 24 13:37:11 GMT 2025","passed","Fri Oct 24 13:37:12 GMT 2025","Create entity","Users","",""
"","311","Delete file","LMS service","Fri Oct 24 13:37:11 GMT 2025","passed","Fri Oct 24 13:37:11 GMT 2025","Delete entity","Files","",""
"","277","Get file with incorrect file id","LMS service","Fri Oct 24 13:37:12 GMT 2025","passed","Fri Oct 24 13:37:12 GMT 2025","Validate entity","Files","",""
"","31","Update exercise","LMS service","Fri Oct 24 13:37:06 GMT 2025","passed","Fri Oct 24 13:37:06 GMT 2025","Update entity","Exercises","",""
"","262","Create file with empty directory","LMS service","Fri Oct 24 13:37:11 GMT 2025","passed","Fri Oct 24 13:37:11 GMT 2025","Validate entity","Files","",""
"","293","Delete exercise","LMS service","Fri Oct 24 13:37:07 GMT 2025","passed","Fri Oct 24 13:37:08 GMT 2025","Delete entity","Exercises","",""
"","288","Get exercises","LMS service","Fri Oct 24 13:37:08 GMT 2025","passed","Fri Oct 24 13:37:09 GMT 2025","Get entities","Exercises","",""
"","288","Create user","LMS service","Fri Oct 24 13:37:12 GMT 2025","passed","Fri Oct 24 13:37:12 GMT 2025","Create entity","Users","",""
"","31","Create course","LMS service","Fri Oct 24 13:37:05 GMT 2025","passed","Fri Oct 24 13:37:05 GMT 2025","Create entity","Courses","",""
"","19","Create file with empty filename","LMS service","Fri Oct 24 13:37:10 GMT 2025","passed","Fri Oct 24 13:37:10 GMT 2025","Validate entity","Files","",""
"","12","Get user me","LMS service","Fri Oct 24 13:37:13 GMT 2025","passed","Fri Oct 24 13:37:13 GMT 2025","Get entity","Users","",""
