"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20","Delete file","LMS service","Fri Oct 24 13:32:55 GMT 2025","passed","Fri Oct 24 13:32:55 GMT 2025","Delete entity","Files","",""
"","492","Create user","LMS service","Fri Oct 24 13:32:56 GMT 2025","passed","Fri Oct 24 13:32:56 GMT 2025","Create entity","Users","",""
"","252","Create file","LMS service","Fri Oct 24 13:32:53 GMT 2025","passed","Fri Oct 24 13:32:53 GMT 2025","Create entity","Files","",""
"","27","Create course","LMS service","Fri Oct 24 13:32:49 GMT 2025","passed","Fri Oct 24 13:32:49 GMT 2025","Create entity","Courses","",""
"","523","Login with correct email and password","LMS service","Fri Oct 24 13:32:47 GMT 2025","passed","Fri Oct 24 13:32:48 GMT 2025","Login","Authentication","",""
"","22","Get exercises","LMS service","Fri Oct 24 13:32:52 GMT 2025","passed","Fri Oct 24 13:32:52 GMT 2025","Get entities","Exercises","",""
"","275","Create user","LMS service","Fri Oct 24 13:32:56 GMT 2025","passed","Fri Oct 24 13:32:56 GMT 2025","Create entity","Users","",""
"","14","Get file","LMS service","Fri Oct 24 13:32:53 GMT 2025","passed","Fri Oct 24 13:32:53 GMT 2025","Get entity","Files","",""
"","237","Get file with incorrect file id","LMS service","Fri Oct 24 13:32:55 GMT 2025","broken","Fri Oct 24 13:32:56 GMT 2025","Validate entity","Files","",""
"","12","Get user me","LMS service","Fri Oct 24 13:32:57 GMT 2025","passed","Fri Oct 24 13:32:57 GMT 2025","Get entity","Users","",""
"","19","Delete exercise","LMS service","Fri Oct 24 13:32:52 GMT 2025","passed","Fri Oct 24 13:32:52 GMT 2025","Delete entity","Exercises","",""
"","253","Create file with empty filename","LMS service","Fri Oct 24 13:32:54 GMT 2025","passed","Fri Oct 24 13:32:54 GMT 2025","Validate entity","Files","",""
"","505","Create user","LMS service","Fri Oct 24 13:32:55 GMT 2025","passed","Fri Oct 24 13:32:56 GMT 2025","Create entity","Users","",""
"","279","Update exercise","LMS service","Fri Oct 24 13:32:51 GMT 2025","passed","Fri Oct 24 13:32:51 GMT 2025","Update entity","Exercises","",""
"","25","Create exercise","LMS service","Fri Oct 24 13:32:50 GMT 2025","passed","Fri Oct 24 13:32:50 GMT 2025","Create entity","Exercises","",""
"","252","Create file with empty directory","LMS service","Fri Oct 24 13:32:54 GMT 2025","passed","Fri Oct 24 13:32:55 GMT 2025","Validate entity","Files","",""
"","298","Get exercise","LMS service","Fri Oct 24 13:32:51 GMT 2025","passed","Fri Oct 24 13:32:51 GMT 2025","Get entity","Exercises","",""
"","29","Get courses","LMS service","Fri Oct 24 13:32:48 GMT 2025","passed","Fri Oct 24 13:32:48 GMT 2025","Get entities","Courses","",""
"","30","Update course","LMS service","Fri Oct 24 13:32:49 GMT 2025","passed","Fri Oct 24 13:32:49 GMT 2025","Update entity","Courses","",""
