"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","286","Create user","LMS service","Sat Nov 15 12:02:54 UTC 2025","passed","Sat Nov 15 12:02:54 UTC 2025","Create entity","Users","",""
"","19","Get exercises","LMS service","Sat Nov 15 12:02:50 UTC 2025","passed","Sat Nov 15 12:02:50 UTC 2025","Get entities","Exercises","",""
"","264","Create file with empty filename","LMS service","Sat Nov 15 12:02:52 UTC 2025","passed","Sat Nov 15 12:02:52 UTC 2025","Validate entity","Files","",""
"","291","Update exercise","LMS service","Sat Nov 15 12:02:49 UTC 2025","passed","Sat Nov 15 12:02:49 UTC 2025","Update entity","Exercises","",""
"","264","Create file","LMS service","Sat Nov 15 12:02:51 UTC 2025","passed","Sat Nov 15 12:02:52 UTC 2025","Create entity","Files","",""
"","21","Create exercise","LMS service","Sat Nov 15 12:02:48 UTC 2025","passed","Sat Nov 15 12:02:48 UTC 2025","Create entity","Exercises","",""
"","526","Create user","LMS service","Sat Nov 15 12:02:53 UTC 2025","passed","Sat Nov 15 12:02:54 UTC 2025","Create entity","Users","",""
"","314","Create course","LMS service","Sat Nov 15 12:02:47 UTC 2025","passed","Sat Nov 15 12:02:47 UTC 2025","Create entity","Courses","",""
"","30","Get courses","LMS service","Sat Nov 15 12:02:46 UTC 2025","passed","Sat Nov 15 12:02:46 UTC 2025","Get entities","Courses","",""
"","17","Get exercise","LMS service","Sat Nov 15 12:02:49 UTC 2025","passed","Sat Nov 15 12:02:49 UTC 2025","Get entity","Exercises","",""
"","18","Delete file","LMS service","Sat Nov 15 12:02:53 UTC 2025","passed","Sat Nov 15 12:02:53 UTC 2025","Delete entity","Files","",""
"","262","Create file with empty directory","LMS service","Sat Nov 15 12:02:53 UTC 2025","passed","Sat Nov 15 12:02:53 UTC 2025","Validate entity","Files","",""
"","14","Get user me","LMS service","Sat Nov 15 12:02:55 UTC 2025","passed","Sat Nov 15 12:02:55 UTC 2025","Get entity","Users","",""
"","553","Login with correct email and password","LMS service","Sat Nov 15 12:02:45 UTC 2025","passed","Sat Nov 15 12:02:46 UTC 2025","Login","Authentication","",""
"","261","Get file with incorrect file id","LMS service","Sat Nov 15 12:02:54 UTC 2025","passed","Sat Nov 15 12:02:54 UTC 2025","Validate entity","Files","",""
"","12","Get file","LMS service","Sat Nov 15 12:02:51 UTC 2025","passed","Sat Nov 15 12:02:51 UTC 2025","Get entity","Files","",""
"","556","Create user","LMS service","Sat Nov 15 12:02:54 UTC 2025","passed","Sat Nov 15 12:02:55 UTC 2025","Create entity","Users","",""
"","290","Delete exercise","LMS service","Sat Nov 15 12:02:50 UTC 2025","passed","Sat Nov 15 12:02:50 UTC 2025","Delete entity","Exercises","",""
"","297","Update course","LMS service","Sat Nov 15 12:02:47 UTC 2025","passed","Sat Nov 15 12:02:47 UTC 2025","Update entity","Courses","",""
